,Start,End
0,2022-06-05 14:39:19.569549,2022-06-05 14:39:22.447512
1,2022-06-05 14:39:22.608083,2022-06-05 14:39:23.649097
2,2022-06-05 14:39:23.839587,2022-06-05 14:39:24.672588
3,2022-06-05 14:39:24.735425,2022-06-05 14:39:25.935215
4,2022-06-05 14:39:26.511464,2022-06-05 14:39:27.694500
5,2022-06-05 14:39:27.998687,2022-06-05 14:39:30.494221
6,2022-06-05 14:39:30.526135,2022-06-05 14:39:32.090373
7,2022-06-05 14:39:32.316768,2022-06-05 14:39:32.347685
8,2022-06-05 14:39:35.120553,2022-06-05 14:39:35.458328
9,2022-06-05 14:39:35.615905,2022-06-05 14:39:49.855692
10,2022-06-05 14:39:50.288534,2022-06-05 14:40:16.620035
